Original,Translated
"1.46. If the sons of Dhritarashtra with weapons in hand should
slay me in battle, unresisting and unarmed, that would be better for me.","If these armed men would kill my unarmed and unrepentant in the Kaurava War, it would be beneficial to me."
"1.47. Sanjaya said  Having thus spoken in the midst of the battlefield, Arjuna,
casting away his bow and arrow, sat down on the seat of the chariot with
his mind overwhelmed with sorrow.","Sanjay said: In the battlefield (number), Arjun, grieved, left the bow with the arrow and sat in the back of the chariot."
"2.1 Sanjaya said  To him who was thus overcome with pity and who was despondent, with eyes full of tears and agitated, Madhusudana (the destroyer of Madhu) or Krishna spoke these words.","Sanjay said - Thus said Madhusudan to Akul Arjun, a man of compassion and despair, with his eyes full of bitterness."
"2.2 The Blessed Lord said  Whence is this perilous strait come upon thee, this dejection which is unworthy of you, disgraceful, and which will close the gates of heaven upon you, O Arjuna?","2. 2. Sri Bhagwan said, “O Arjuna, where did this fascination arise for you in this unique place? It is neither a means of achieving heaven nor a source of glory, contrary to the Aryan practice. ”"
"2.3 Yield not to impotence, O Arjuna, son of Pritha. It does not befit thee. Cast off this mean weakness of the heart! Stand up, O scorcher of the foes!","2. 3. Don 't be a parish poet. This is unfortunate for you, O Lord. Forsake the small weakness of your heart."
"2.4 Arjuna said  How, O Madhusudana, shall I fight in battle with arrows against Bhishma and Drona, who are fit to be worshipped, O destroyer of enemies?","Arjun said, ""Holy Madhusudan, how shall I fight the arrows with Bhishma and the dragon in the battlefield?"
"2.5 Better it is, indeed, in this world to accept alms than to slay the most noble teachers. But if I kill them, even in this world all my enjoyments of wealth and fulfilled desires will be stained with (their) blood.","It is more beneficial in this world to receive the fruits of the cult by killing these great Gurus, for by killing the Gurus I will enjoy the bloody meanings and pleasures of the world."
"2.6 I can hardly tell which will be better, that we should  coner them or that they should coner us. Even the sons of Dhritarashtra, after slaying whom we do not wish to live, stand facing us.","We do not know what is right for us to do. We do not know whether we will win, or whether they will win, those whom we do not want to kill to survive are the sons of Dhritarashtra who stand before us for war."
2.7 My heart is overpowered by the taint of pity; my mind is confused as to duty. I ask Thee: Tell me decisively what is good for me. I am Thy disciple. Instruct me who has taken refuge in Thee.,"Confused with the lust of compassion and confused by the path of duty, I ask you to determine what is creditable to me, for I am your disciple; teach me in refuge."
"2.8 I do not see that it would remove this sorrow that burns up my senses, even if I should attain prosperous and unrivalled dominion on earth or lordship over the gods.","2. 8 I do not see a remedy to remove this sorrow which comforts my senses, even though I have an eternal rich kingdom on earth and the ownership of the gods."
"2.9 Sanjaya said  Having spoken thus to Hrishikesha (the Lord of the senses), Arjuna (the coneror of sleep), the destroyer of foes, said to Krishna, ""I will not fight"" and became silent.","2. 9. Sanjay said - Thus, Govinda said to Arjuna, the Lord, ""I will not fight."""
"2.10 To him who was despondent in the midst of the two armies, Krishna, as if smiling, O Bharata, spoke these words.","2. 10. < s > Dear India (Dritrashtra)! Let this word be spoken to Arjuna, the sad man in the midst of the two armies, laughing."
"2.11 The Blessed Lord said  Thou hast grieved for those that should not be grieved for, yet thou speakest words of wisdom. The wise grieve neither for the living nor for the dead.","The Lord said: You mourn for those for whom it is not right to mourn, and you say words to the wise, but the wise men do not mourn for the dead and the living."
"2.12 Nor at any time indeed was I not, nor thou, nor these rulers of men, nor verily shall we ever cease to be hereafter.","It is not true that I was not in any time, or you were not, or these kings were not, and it is not true that we will not all live beyond this."
"2.13 Just as in this body the embodied (soul) passes into childhood, youth and old age, so also does it pass into another body; the firm man does not grieve thereat.","As the deity in this body is the adolescent, young and old age of the living soul, so it receives the other body; the restless man is not enchanted by it."
"2.14 The contacts of the senses with the objects, O son of Kunti, which cause heat and cold, pleasure and pain, have a beginning and an end; they are impermanent; endure them bravely, O Arjuna.","2. 14. O Kuntiputra, the combination of the cold and the hot and the pleasant and the painful senses and subjects is the beginning and the end; they are untrue, therefore, O India, endure them."
"2.15 That firm man whom, surely, these afflict not, O chief among men, to whom pleasure and pain are the same, is fit for attaining immortality.",He who lives with the same feeling of pain and happiness as the restless man cannot be disturbed by it is the servant of immortality.
2.16 The unreal hath no being; there is non-being of the real; the truth about both has been seen by the knowers of the Truth (or the seers of the Essence).,"There is no existence of the inanimate and there is never a absence of the being. Thus, the same principle of both is seen by the principled wise men."
"2.17 Know that to be indestructible, by Which all this is pervaded. None can cause the destruction of That, the Imperishable.",Know that which is inexhaustible in the whole world. No one is able to destroy that which is inexhaustible.
"2.18 These bodies of the embodied Self, Which is eternal, indestructible and immeasurable, are said to have an end. Therefore fight, O Arjuna.","All these bodies of this immortal, eternal, divine soul have been called destructive, therefore, O India, fight!"
"2.19 He who takes the Self to be the slayer and he who thinks It is slain, neither of them ï1knowsï1. It slays not, nor is It slain.","Both those who think that the soul is dead and those who think that it is dead do not know, for the soul is neither dead nor killed."
"2.20 It is not born, nor does It ever die; after having been, It again ceases not to be; unborn, eternal, changeless and ancient, It is not killed when the body is killed.","2. 20 The soul is neither born nor dead in any time, nor is it once again destitute. The soul is eternal, eternal, eternal and ancient, even if the body is destroyed, it is not destroyed."
"2.21 Whosoever knows It to be indestructible, eternal, unborn and inexhaustible, how can that man slay, O Arjuna, or cause to be slain?","How will the soul who knows this spirit as incorruptible, eternal and inexhaustible kill and kill whom?"
"2.22 Just as a man casts off worn-out clothes and puts on new ones, so also the embodied Self casts off worn-out bodies and enters others which are new.","As man wears other new garments by abandoning old ones, so the deity receives other new ones by abandoning old bodies."
"2.23 Weapons cut It not, fire burns It not, water wets It not, wind dries It not.","This soul cannot be cut off by weapons, nor can fire burn it; water cannot make it thin, nor can air dry it."
"2.24 This Self cannot be cut, burnt, wetted, nor dried up. It is eternal, all-pervading, stable, immovable and ancient.","For this soul is good (cannot be cut off), unpleasant (cannot be burned), unclean (cannot be dirty) and unpleasant (cannot be pleasurable); it is eternal, universal, permanent, constant and eternal."
"2.25 This (Self) is said to be unmanifested, unthinkable and unchangeable. Therefore, knowing This to be such, thou shouldst not grieve.","It is said that this soul is invisible, unconscious and invincible; therefore it is not proper for you to mourn to know it in this way."
"2.26 But even if thou thinkest of It as being constantly born and constantly dying, even then, O mighty-armed, thou shouldst not grieve.","And even if you consider the Spirit to be eternally born and eternally dying, O great beast, it is not right for you to mourn in this way."
"2.27 For certain is death for the born, and certain is birth for the dead; therefore, over the inevitable thou shouldst not grieve.","2. 27. The death of the born is certain, and the birth of the dead is certain; therefore do not grieve over what is unfailing and inevitable."
"2.28 Beings are unmanifested in their beginning, manifested in their middle state, O Arjuna, and unmanifested again in their end. What is there to grieve about?",All creatures live before birth and after death in an invisible state and manifest themselves in the middle. Then what is there to worry or grieve about?
"2.29 One sees This (the Self) as a wonder; another speaks of It as a wonder; another hears of It as a wonder; yet having heard, none understands It at all.",Some see it as a wonder; some say it as a wonder; and some other men hear it as a wonder; and yet no one knows it by hearing.
"2.30 This, the Indweller in the body of everyone, is ever indestructible, O Arjuna; therefore, thou shouldst not grieve for any creature.","2. 30. O India, this divine spirit is always in everyone 's bodies, so it is not proper for all beings to mourn you."
"2.31 Further, having regard to thy duty, shouldst not waver, for there is nothing higher for a Kshatriya than a righteous war.","And you should not be distracted by your own religion, for there is no more beneficial duty for Kshatriya than a religious war."
"2.32 Happy are the Kshatriyas, O Arjuna! who are called upon to fight in such a battle that comes of itself as an open door to heaven.","2. 32 And, O Path, the blessed Kshatriyas find this kind of war in themselves and open doors to heaven."
"2.33 But if thou wilt not fight this righteous war, then having abandoned thine own duty and fame, thou shalt incur sin.","And if you do not accept this war of religion, you will lose self - religion and glory and gain sin."
"2.34 People, too, will recount thy everlasting dishonour; and to one who has been honoured, dishonour is worse than death.",And all will call you a disgrace that lasts for a long time; and for a noble man a disgrace is more than death.
2.35 The great car-warriors will think that thou hast withdrawn from the battle through fear; and thou wilt be lightly held by them who have thought much of thee.,"And for those to whom you are most worthy, you will now receive vanity, and the Maharthi people will think you have retired from the war for fear."
"2.36 Thy enemies also, cavilling at thy power, will speak many abusive words. What is more painful than this?","Your enemies will say many utterances denying your righteousness, but what will be worse than that?"
"2.37 Slain, thou wilt obtain heaven; victorious, thou wilt enjoy the earth; therefore, stand up, O son of Kunti, resolved to fight.","2. 37. To die in battle you will get heaven or to win you will enjoy the earth; now, come on, decide to fight."
"2.38 Having made pleasure and pain, gain and loss, victory and defeat the same, engage thou in battle for the sake of battle; thus thou shalt not incur sin.","2. 38. Prepare for war by equating good and evil, gain and loss and glory; so you will not sin."
"2.39 This, which has been taught to thee, is wisdon concerning Sankhya. Now listen to wisdom concerning Yoga, endowed with which, O Arjuna, thou shalt cast off the bonds of action.",2. 39. You have been called the knowledge of the world and now listen to the knowledge of the Yoga with which you will be able to destroy the Karmabund.
"2.40 In this there is no loss of effort, nor is there any harm (production of contrary results or transgression). Even a little of this knowledge (even a little practice of this Yoga) protects one from great fear.",2. 40. There is no corruption and every fault. The little practice of this religion (yoga) also protects from great fear.
"2.41 Here, O joy of the Kurus, there is but a single one-pointed determination; many-branched and endless are the thoughts of the irresolute.","2. 41 - LRB - Dear Kurunadan - RRB -, there is one definite intelligence in this subject, the wisdoms of the ignorant men are very different and infinite - RRB -."
"2.42 Flowery speech is uttered by the unwise, taking pleasure in the eulogising words of the Vedas, O Arjuna, saying, ""There is nothing else.""",2. 42. “He who speaks the praises of the goddess is in the Vedic faith. There is nothing more than that. ”
"2.43 Full of desires, having heaven as their goal, (they utter speech which is directed to ends) leading to new births as the result of their works, and prescribe various methods abounding in specific actions, for the attainment of pleasure and power.",2. 43. With desires? Those who consider heaven to be the best describe many acts of enjoyment and divinity which (in fact) give birth to fruit.
"2.44 For those who are attached to pleasure and power, whose minds are drawn away by such teaching, ï1thatï1 determinate reason is not formed which is steadily bent on meditation and Samadhi (superconscious state).","There is no definite intelligence in the ends of men who have the desire of enjoyment and fertility, i. e. they are unable to practise meditation."
"2.45 The Vedas deal with the three attributes (of Nature); be thou above these three attributes. O Arjuna, free yourself from the pairs of opposites, and ever remain in the ality of Sattva (goodness), freed from (the thought of) acisition and preservation, and be established in the Self.","2. 45. The subject of the Arjuna Vedas relates to three qualities (to the world): Be thou three - fold, non - dual, eternal, purity - LRB - purity - RRB -, free from Yoga and become self - sufficient."
"2.46 To the Brahmana who has known the Self, all the Vedas are of as much use as is a reservoir of water in a place where there is a flood.",2. 46. What is the purpose of man in a small reservoir with a full body of water? The self - knowing Brahmin has the same purpose in all the Vedas.
"2.47 Thy right is to work only, but never with its fruits; let not the fruits of action be thy motive, nor let thy attachment be to inaction.","2. 47. Do you have the right only to work? Never to work. Don 't be for the sake of work, and don' t be addicted to inaction."
"2.48 Perform action, O Arjuna, being steadfast in Yoga, abandoning attachment and balanced in success and failure. Evenness of mind is called Yoga.","Work, O Dhanjaya, by abandoning your attachment and being in Yoga in harmony between perfection and failure. This harmony is called Yoga."
"2.49 Far lower than the Yoga of wisdon is action, O Arjuna. Seek thou refuge in wisdom; wretched are they whose motive is the fruit.","2. 49. Compared to this intelligence, karma is worse. Therefore, you, Dhanjaya, are the beggars who seek the fruit. 2. 49."
"2.50 Endowed with wisdom (evenness of mind), one casts off in this life both good and evil deeds; therefore, devote thyself to Yoga; Yoga is skill in action.",2. 50. A man with a sense of equality here (in this life) renounces both virtue and sin. So get used to yoga.
"2.51 The wise, possessed of knowledge, having abandoned the fruits of their actions, and being freed from the fetters of birth, go to the place which is beyond all evil.","2. 51. Wise men with intelligence, who have abandoned the fruit of works and are freed from the birth - form boundary, are given the title of innocence. 2. 51."
"2.52 When thy intellect crosses beyond the mire of delusion, then thou shalt attain to indifference as to what has been heard and what has yet to be heard.","2. 52. When your intellect passes through the folds of the mind, you will receive the Nirved from all that is audible and heard. 2. 52."
"2.53 When thy intellect, which is perplexed by the Veda text, which thou hast read, shall stand immovable and steady in the Self, then thou shalt attain Self-realisation.","2. 53. When your intellect, which has been distracted from listening to various subjects, becomes stationary and stable in the self, you will attain Yoga."
"2.54 Arjuna said  What, O Krishna, is the description of him who has steady wisdom, and is merged in the superconscious state? How does one of steady wisdom speak, how does he sit, how does he walk?","Arjun said - What is the characteristic of a man with a fixed intellect in Kesava Samadhi? How does a man speak, how does he sit, how does he walk?"
"2.55 The Blessed Lord said  When a man completely casts off, O Arjuna, all the desires of the mind and is satisfied in the Self by the Self, then is he said to be one of steady wisdom.","The Lord said, ""O Parth, when the soul renounces all desires in the mind and is satisfied with the spirit itself, he calls it the situation - conscious."
"2.56 He whose mind is not shaken by adversity, who does not hanker after pleasures, and is free from attachment, fear and anger, is called a sage of steady wisdom.","In sorrow, whose mind is not awakened, in happiness, whose husband is deprived, whose mind is devoid of anger, fear and wrath, he is called the saint - wise."
"2.57 He who is everywhere without attachment, on meeting with anything good or bad, who neither rejoices not hastes, his wisdom is fixed.","2. 57. Who, everywhere, is devoid of all affection, does not rejoice or hate the good and evil things? His wisdom is noble."
"2.58 When, like the tortoise which withdraws on all sides its limbs, he withdraws his senses from the sense-objects, then his wisdom becomes steady.","As the cockroach gathers his organs, so does this man when he overpowers his senses from all sides with the matters of the senses, his intelligence remains fixed."
2.59 The objects of the senses turn away from the abstinent man leaving the longing (behind); but his longing also turns away on seeing the Supreme.,"2. 59. The subjects are removed from the Nirhari Dehi man, but not the राग, the राग of this (man) is also removed when one sees the Supreme Element."
"2.60 The turbulent senses, O Arjuna, do violently carry away the mind of a wise man though he be striving (to control them).",2. 60. These senses are strongly overtaking the mind of the wise man in his attempts at restraint.
"2.61 Having restrained them all he should sit steadfast, intent on Me; his wisdom is steady whose senses are under control.","2. 61. Be submissive to all these senses and be wise. The man whose senses are under his control, his wisdom is honoured."
"2.62 When a man thinks of the objects, attachment for them arises; from attachment desire is born; from desire anger arises.",2. 62. Does the man who thinks about matters have attachment to it? Desire arises from desire and anger from desire.
2.63 From anger comes delusion; from delusion loss of memory; from loss of memory the destruction of discrimination; from the destruction of discrimination he perishes.,"2.63. Anger results in envy and envy leads to memory confusion. When the memory is confused, the intellect is destroyed, and when the intellect is destroyed, man is destroyed."
"2.64 But the self-controlled man, moving among the objects with the senses under restraint and free from attraction and repulsion, attains to peace.",2. 64. Self - united (the spiritual soul) the man receives the happiness (prasada) of subjecting himself to the things by the senses without रागद्वैष.
2.65 In that peace all pains are destroyed; for the intellect of the tranil-minded soon becomes steady.,"2. 65. In the presence of Prasad all sorrows cease, and soon the intelligence of the happy man ceases."
"2.66 There is no knowledge of the Self to the unsteady and to the unsteady no meditation is possible, and to the unmeditative there can be no peace, and to the man who has no peace, how can there be happiness?",2. 66 - LRB - without restraint - RRB - the unwise man does not have knowledge and the unwise man does not have the capacity for emotion and attention. The unfeeling man does not have peace. The restless man does not have happiness.
"2.67 For the mind, which follows in the wake of the wandering senses, carries away his discrimination, as the wind (carries away) a boat on the waters.","Every man takes the boat like the air in the water, and the same sense which the mind follows among the senses which are absent in matters takes the same sense of its wisdom."
"2.68 Therefore, O mighty-armed Arjuna, his knowledge is steady whose senses are completely restrained from sense-objects.","Therefore, O Mahabharata, the man whose senses are all subject to the subjects of the senses, his intellect is fixed."
"2.69 That which is night to all beings, in that the self-controlled man is awake; when all beings are awake, that is night for the Muni (sage) who sees.","2. 69. The night which is for all the lovers, in which the soul awakes, and where all the creatures awake, is the night for the seeker of the saint."
"2.70 He attains peace into whom all desires enter as waters enter the ocean which, filled from all sides, remains unmoved; but not the man who is full of desires.","2. 70. As the waters of the boundless sea, full of all sides, are swallowed up, so the man who is swallowed up in it by his desires for peace, and not by his desires for pleasures."
"2.71 That man attains peace who, abandoning all desires, moves about without longing, without the sense of mine and without egoism.","2. 71. The man who gives up all desires and walks without affection and reluctance, he finds peace."
"2.72 This is the Brahmic seat (eternal state), O son of Pritha. Attaining to this, none is deluded. Being established therein, even at the end of life, one attains to oneness with Brahman.","2. 72. This is the Brahmin position. The soul does not become enchanted by it. Even at the end of the time, in this devotion, the Brahman is unified (with Brahman)."
"3.1 Arjuna said  If Thou thinkest that knowledge is superior to action, O Krishna, why then, O Kesava, dost Thou ask me to engage in this terrible action?","3. 1. 2. If you believe that knowledge is superior to action, why do you entice me to this evil action, Keshav?"
"3.2 With this apparently perplexing speech, Thou confusest, as it were, my understanding; therefore tell me that one way for certain by which I may attain bliss.","You are enchanting my intelligence with this mixed sentence, so say with certainty the one (path) from which I can obtain the supreme credit."
"3.3 The Blessed Lord said  In this world there is a twofold path, as I said before, O sinless one; the path of knowledge of the Sankhyas and the path of action of the Yogins.","3. 3. Sri Bhagwan said, “He is faithful, Arjun. ” In this verse, two types of faithfulness have been mentioned by me earlier: from the knowledge Yoga of the disciples and from the karma Yoga of the yogis."
3.4 Not by non-performance of actions does man reach actionlessness; nor by mere renunciation does he attain to perfection.,"3. 4. Man does not get enlightenment by not doing works, nor does he get perfection by sinking in works."
3.5 Verily none can ever remain for even a moment without performing action; for everyone is made to act helplessly indeed by the alities born of Nature.,"3. 5. No man can ever live without action for a single moment, because action is carried out by all (mankind) who are blessed by the qualities of nature."
"3.6 He who, restraining the organs of action, sits thinking of the sense-objects in mind, he of deluded understanding is called a hypocrite.",3. 6. The foolish intellect which takes possession of the male organs and remembers the pleasures of the senses from the mind is called the deceitful.
"3.7 But whosoever, controlling the senses by the mind, O Arjuna, engages himself in Karma Yoga with the organs of action, without attachment, he excels.","3. 7. But Arjuna, who exercises karmayoga through the untouched senses by subjecting the mind to the senses, is the best."
"3.8 Do thou perform (thy) bounden duty, for action is superior to inaction and even the maintenance of the body would not be possible for thee by inaction.","3. 8. 2. Work according to your duties, for inaction is better than inaction. Your inaction will not suffice to sustain your body."
"3.9 The world is bound by actions other than those performed for the sake of sacrifice; do thou, therefore, O son of Kunti (Arjuna), perform action for that sake (for sacrifice alone), free from attachment.","3. 9. 2. In addition to the acts performed for the sacrifice, the man is engaged in other acts which are bound by the acts, so let him abandon the attachment and act accordingly for the sake of the sacrifice."
